2019-08-21 16:45:51,241 | INFO  | Refreshing org.apache.activemq.xbean.XBeanBrokerFactory$1@53ce1329: startup date [Wed Aug 21 16:45:51 EDT 2019]; root of context hierarchy | org.apache.activemq.xbean.XBeanBrokerFactory$1 | main
2019-08-21 16:45:52,201 | INFO  | Using Persistence Adapter: KahaDBPersistenceAdapter[/Users/jreock/Development/PrometheusGrafana/Demos/ActiveMQ-JMX/apache-activemq-5.15.9/data/kahadb] | org.apache.activemq.broker.BrokerService | main
2019-08-21 16:45:52,325 | INFO  | PListStore:[/Users/jreock/Development/PrometheusGrafana/Demos/ActiveMQ-JMX/apache-activemq-5.15.9/data/localhost/tmp_storage] started | org.apache.activemq.store.kahadb.plist.PListStoreImpl | main
2019-08-21 16:45:52,458 | INFO  | Apache ActiveMQ 5.15.9 (localhost, ID:JUSTINREOCKMBP15.local-50162-1566420352341-0:1) is starting | org.apache.activemq.broker.BrokerService | main
2019-08-21 16:45:52,488 | INFO  | Listening for connections at: tcp://JUSTINREOCKMBP15.local:61616?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-08-21 16:45:52,495 | INFO  | Connector openwire started | org.apache.activemq.broker.TransportConnector | main
2019-08-21 16:45:52,498 | INFO  | Listening for connections at: amqp://JUSTINREOCKMBP15.local:5672?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-08-21 16:45:52,499 | INFO  | Connector amqp started | org.apache.activemq.broker.TransportConnector | main
2019-08-21 16:45:52,505 | INFO  | Listening for connections at: stomp://JUSTINREOCKMBP15.local:61613?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-08-21 16:45:52,507 | INFO  | Connector stomp started | org.apache.activemq.broker.TransportConnector | main
2019-08-21 16:45:52,512 | INFO  | Listening for connections at: mqtt://JUSTINREOCKMBP15.local:1883?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.TransportServerThreadSupport | main
2019-08-21 16:45:52,514 | INFO  | Connector mqtt started | org.apache.activemq.broker.TransportConnector | main
2019-08-21 16:45:52,519 | INFO  | Starting Jetty server | org.apache.activemq.transport.WebTransportServerSupport | main
2019-08-21 16:45:52,632 | INFO  | Creating Jetty connector | org.apache.activemq.transport.WebTransportServerSupport | main
2019-08-21 16:45:52,697 | WARN  | ServletContext@o.e.j.s.ServletContextHandler@6b760460{/,null,STARTING} has uncovered http methods for path: / | org.eclipse.jetty.security.SecurityHandler | main
2019-08-21 16:45:52,749 | INFO  | Listening for connections at ws://JUSTINREOCKMBP15.local:61614?maximumConnections=1000&wireFormat.maxFrameSize=104857600 | org.apache.activemq.transport.ws.WSTransportServer | main
2019-08-21 16:45:52,751 | INFO  | Connector ws started | org.apache.activemq.broker.TransportConnector | main
2019-08-21 16:45:52,753 | INFO  | Apache ActiveMQ 5.15.9 (localhost, ID:JUSTINREOCKMBP15.local-50162-1566420352341-0:1) started | org.apache.activemq.broker.BrokerService | main
2019-08-21 16:45:52,753 | INFO  | For help or more information please see: http://activemq.apache.org | org.apache.activemq.broker.BrokerService | main
2019-08-21 16:45:53,231 | INFO  | No Spring WebApplicationInitializer types detected on classpath | /admin | main
2019-08-21 16:45:53,365 | INFO  | ActiveMQ WebConsole available at http://0.0.0.0:8161/ | org.apache.activemq.web.WebConsoleStarter | main
